전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
20,SP,1,400.0,0,base,1,200.0,-0.001981022090754184,-0.0003429384281237874,200.8,-0.001981022090754184,-9.857118117408687e-05,1
20,SP,1,400.0,0,base,2,400.0,-0.002178937254367647,-0.00037530312935511734,400.8,-0.002178937254367647,-0.00010779127465125486,1
20,SP,1,400.0,0,base,3,600.0,-0.0029005442643980266,-0.0004978105425834656,600.8000000000001,-0.0029005442643980266,-0.00014290213567035918,1
20,SP,1,400.0,0,post,1,1600.0,-0.001285169443305923,-0.00021799715856711532,1600.8000000000002,-0.001285169443305923,-6.24731182271007e-05,1
20,SP,1,400.0,0,post,2,1800.0,-0.003514983544907324,-0.0006009327868620462,1800.8000000000002,-0.003514983544907324,-0.00017240643479727016,1
20,SP,1,400.0,0,post,3,2000.0,-0.003402521590563045,-0.0005822243789831705,2000.8000000000002,-0.003402521590563045,-0.00016706064322566074,1
20,SP,1,400.0,0,post,4,2200.0,-0.0033362456046584373,-0.0005712583661079407,2200.8,-0.0033362456046584373,-0.00016393139937886502,1
21,SO,1,447.2,0,base,1,200.0,-0.0015664321244537919,-0.0002750611553589549,200.8,-0.0015664321244537919,-7.922761132350312e-05,1
21,SO,1,447.2,0,base,2,400.0,-0.0023859486466150178,-0.00040600448846817017,400.8,-0.0023859486466150178,-0.0001164060084556795,1
21,SO,1,447.2,0,base,3,600.0,-0.0031814910489092506,-0.0005383839209874425,600.8000000000001,-0.0031814910489092506,-0.00015423633138926085,1
21,SO,1,447.2,0,post,1,1600.0,-0.0015115940925892863,-0.0002559547622998509,1600.8000000000002,-0.0015115940925892863,-7.333233943354068e-05,1
21,SO,1,447.2,0,post,2,1800.0,-0.0038647090087809725,-0.0006509199738502502,1800.8000000000002,-0.0038647090087809725,-0.00018634833372183332,1
21,SO,1,447.2,0,post,3,2000.0,-0.0037324480028360293,-0.0006293461968501363,2000.8000000000002,-0.0037324480028360293,-0.00018020160473705595,1
21,SO,1,447.2,0,post,4,2200.0,-0.0036599596839529576,-0.0006174612790346146,2200.8,-0.0036599596839529576,-0.00017681159056969392,1
22,SO,1,565.7,0,base,1,200.0,-0.0012921536959699493,-0.00022722283999125625,200.8,-0.0012921536959699493,-6.546266368789273e-05,1
22,SO,1,565.7,0,base,2,400.0,-0.001213113745984986,-0.00020773087938626145,400.8,-0.001213113745984986,-5.961395792661849e-05,1
22,SO,1,565.7,0,base,3,600.0,-0.0015945339606381378,-0.00027172888318698074,600.8000000000001,-0.0015945339606381378,-7.792375972066575e-05,1
22,SO,1,565.7,0,post,1,1600.0,-0.000798816405189794,-0.00013488903641700745,1600.8000000000002,-0.000798816405189794,-3.863126034675219e-05,1
22,SO,1,565.7,0,post,2,1800.0,-0.00193037890707297,-0.0003276156882444925,1800.8000000000002,-0.00193037890707297,-9.389594185534127e-05,1
22,SO,1,565.7,0,post,3,2000.0,-0.001863588716672819,-0.00031665588418641755,2000.8000000000002,-0.001863588716672819,-9.076669800854553e-05,1
22,SO,1,565.7,0,post,4,2200.0,-0.0018270890108349875,-0.0003107599914073944,2200.8,-0.0018270890108349875,-8.909031737633352e-05,1
23,SO,1,721.1,0,base,1,200.0,-0.00018262772392375643,-3.5468178490795366e-05,200.8,-0.00018262772392375643,-1.0379590081114873e-05,1
23,SO,1,721.1,0,base,2,400.0,-0.0005588985606856462,-9.571854025125504e-05,400.8,-0.0005588985606856462,-2.746935930394645e-05,1
23,SO,1,721.1,0,base,3,600.0,-0.0007389920365034636,-0.0001261138046781199,600.8000000000001,-0.0007389920365034636,-3.617256875284639e-05,1
23,SO,1,721.1,0,post,1,1600.0,-0.00036951482598851265,-6.236042827367783e-05,1600.8000000000002,-0.00036951482598851265,-1.7858110345925103e-05,1
23,SO,1,721.1,0,post,2,1800.0,-0.0008937376040953074,-0.00015195676436027122,1800.8000000000002,-0.0008937376040953074,-4.356261337317584e-05,1
23,SO,1,721.1,0,post,3,2000.0,-0.0008634241291633837,-0.00014687981456518173,2000.8000000000002,-0.0008634241291633837,-4.21097501585921e-05,1
23,SO,1,721.1,0,post,4,2200.0,-0.000847114114109692,-0.00014416035264730453,2200.8,-0.000847114114109692,-4.133209580976042e-05,1
