전극,층,조직위,자극전극거리um,자극전극여부,구간,펄스번호,자극시각ms,기울기uV_per_ms,진폭uV,피크시각ms,기울기_교차시각,기울기_옛표본회귀,띠표본수
16,SLM,1,894.4,0,base,1,200.0,-0.20523169630740004,-0.36617761850357056,204.4,-0.20523169630740004,-0.1864290237427019,2
16,SLM,1,894.4,0,base,2,400.0,-0.20476002001150148,-0.3648022810618081,404.40000000000003,-0.20476002001150148,-0.18596112728118225,2
16,SLM,1,894.4,0,base,3,600.0,-0.2047423149800362,-0.36472932497660304,604.4,-0.2047423149800362,-0.18594145774849313,2
16,SLM,1,894.4,0,post,1,1600.0,-0.41925764537753896,-0.5295167565345764,1603.6000000000001,-0.41925764537753896,-0.5459135770790953,2
16,SLM,1,894.4,0,post,2,1800.0,-0.4186739009897986,-0.5256850123405457,1803.6000000000001,-0.4186739009897986,-0.5444246530528036,2
16,SLM,1,894.4,0,post,3,2000.0,-0.4191378834563251,-0.5245844125747681,2003.6000000000001,-0.4191378834563251,-0.5443394184113423,2
16,SLM,1,894.4,0,post,4,2200.0,-0.4196469970531431,-0.5235710144042969,2203.6,-0.4196469970531431,-0.5443000793480447,2
17,SR,1,721.1,0,base,1,200.0,-0.42975602274544134,-0.7817109227180481,204.4,-0.42975602274544134,-0.3868541121483391,2
17,SR,1,721.1,0,base,2,400.0,-0.4289556028386957,-0.7803254922231038,404.40000000000003,-0.4289556028386957,-0.3860631585121013,2
17,SR,1,721.1,0,base,3,600.0,-0.42892975746191264,-0.7802530725797017,604.4,-0.42892975746191264,-0.3860318660737748,2
17,SR,1,721.1,0,post,1,1600.0,-0.8474586298658147,-1.1360694666703541,1603.6000000000001,-0.8474586298658147,-1.1230206489549048,2
17,SR,1,721.1,0,post,2,1800.0,-0.8450835518073055,-1.1303107837835948,1803.6000000000001,-0.8450835518073055,-1.1198481917371415,2
17,SR,1,721.1,0,post,3,2000.0,-0.8454459687639932,-1.1293326417605083,2003.6000000000001,-0.8454459687639932,-1.1196926236154447,2
17,SR,1,721.1,0,post,4,2200.0,-0.8459798308797644,-1.1282812654972076,2203.6,-0.8459798308797644,-1.1195993423510084,2
18,SR,1,565.7,0,base,1,200.0,-0.8475998496121692,-2.089500973622004,205.20000000000002,-0.8475998496121692,-0.7670617997646435,4
18,SR,1,565.7,0,base,2,400.0,-0.8426785473522614,-2.094181537628174,405.20000000000005,-0.8426785473522614,-0.7660816609859131,4
18,SR,1,565.7,0,base,3,600.0,-0.8425475079881682,-2.094268669684728,605.2,-0.8425475079881682,-0.7660466730595482,4
18,SR,1,565.7,0,post,1,1600.0,-1.3034571902583927,-2.8722038318713508,1604.4,-1.3034571902583927,-1.3374875485899342,3
18,SR,1,565.7,0,post,2,1800.0,-1.2985211103483334,-2.8433626145124435,1804.4,-1.2985211103483334,-1.3278448581702804,3
18,SR,1,565.7,0,post,3,2000.0,-1.302115506947145,-2.833119347691536,2004.4,-1.302115506947145,-1.3266593217859632,3
18,SR,1,565.7,0,post,4,2200.0,-1.3080165863367816,-2.818765953183174,2204.4,-1.3080165863367816,-1.3261085748668011,3
19,SP,1,447.2,0,base,1,200.0,-3.5579190643429497,-4.6815365254879,203.60000000000002,-3.5579190643429497,-3.098878860474065,2
19,SP,1,447.2,0,base,2,400.0,-3.5614340423313227,-4.686983056366444,403.6,-3.5614340423313227,-3.1054753065108134,2
19,SP,1,447.2,0,base,3,600.0,-3.5615174212291247,-4.687233989437421,603.6,-3.5615174212291247,-3.105721473695185,2
19,SP,1,447.2,0,post,1,1600.0,-8.732233447973156,-7.087649376442035,1603.6000000000001,-8.732233447973156,-1.968970074702661,1
19,SP,1,447.2,0,post,2,1800.0,-8.810623039807007,-7.070806000381708,1803.6000000000001,-8.810623039807007,-1.964738049722921,1
19,SP,1,447.2,0,post,3,2000.0,-8.828699594286984,-7.063797780623038,2003.6000000000001,-8.828699594286984,-1.9627946320021363,1
19,SP,1,447.2,0,post,4,2200.0,-8.841957096404029,-7.057748597115278,2203.6,-8.841957096404029,-1.961125983415391,1
20,SP,1,400.0,0,base,1,200.0,-0.001981022090754184,-0.0003429384281237874,200.8,-0.001981022090754184,-9.857118117408687e-05,1
20,SP,1,400.0,0,base,2,400.0,-0.014538448559948632,-0.002449036886294692,400.8,-0.014538448559948632,-0.0007011368861970858,1
20,SP,1,400.0,0,base,3,600.0,-0.015000018840587586,-0.0025317780673503876,600.8000000000001,-0.015000018840587586,-0.000725034623431795,1
20,SP,1,400.0,0,post,1,1600.0,-0.016112814557392684,-0.0027380535999933786,1600.8000000000002,-0.016112814557392684,-0.0007848627855501914,1
20,SP,1,400.0,0,post,2,1800.0,-0.04526566765970144,-0.006897818297147751,1800.8000000000002,-0.04526566765970144,-0.0019482336914023845,1
20,SP,1,400.0,0,post,3,2000.0,-0.04700785187458438,-0.007151557753483445,2000.8000000000002,-0.04700785187458438,-0.0020194798682713947,1
20,SP,1,400.0,0,post,4,2200.0,-0.0469622628683369,-0.007151945183674485,2200.8,-0.0469622628683369,-0.002019852397300775,1
21,SO,1,447.2,0,base,1,200.0,-0.0015664321244537919,-0.0002750611553589549,200.8,-0.0015664321244537919,-7.922761132350312e-05,1
21,SO,1,447.2,0,base,2,400.0,-0.01680872305851605,-0.0027985634903113094,400.8,-0.01680872305851605,-0.0007998850186601284,1
21,SO,1,447.2,0,base,3,600.0,-0.01715691430748985,-0.002881380418936416,600.8000000000001,-0.01715691430748985,-0.0008245650668565296,1
21,SO,1,447.2,0,post,1,1600.0,-0.01811445988306351,-0.003084403773148864,1600.8000000000002,-0.01811445988306351,-0.0008844025422006464,1
21,SO,1,447.2,0,post,2,1800.0,-0.051305856050388995,-0.00760365401705107,1800.8000000000002,-0.051305856050388995,-0.002140086141533314,1
21,SO,1,447.2,0,post,3,2000.0,-0.053325939530327666,-0.007883840550978988,2000.8000000000002,-0.053325939530327666,-0.002218279984800269,1
21,SO,1,447.2,0,post,4,2200.0,-0.053377820077410196,-0.007894936949014664,2200.8,-0.053377820077410196,-0.002221520987355879,1
22,SO,1,565.7,0,base,1,200.0,-0.0012921536959699493,-0.00022722283999125625,200.8,-0.0012921536959699493,-6.546266368789273e-05,1
22,SO,1,565.7,0,base,2,400.0,-0.008127803773430316,-0.0013235447307427817,400.8,-0.008127803773430316,-0.0003771297628933743,1
22,SO,1,565.7,0,base,3,600.0,-0.0083268707094071,-0.0013653362790743417,600.8000000000001,-0.0083268707094071,-0.00038940459441143494,1
22,SO,1,565.7,0,post,1,1600.0,-0.009039494164534135,-0.0015518702566623688,1600.8000000000002,-0.009039494164534135,-0.0004455074662360747,1
